,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,specificity,false_positive_rate,false_negative_rate,matthews_corr_coef,cohen_kappa,roc_auc,log_loss,brier_score,pr_auc,threshold,model_name,n_samples,n_positive,n_negative
XGBoost_Validation,0.7215,0.3613053613053613,0.5188284518828452,0.4259704568876675,3709,1096,575,620,0.771904266389178,0.22809573361082205,0.4811715481171548,0.2569455997241952,0.24981817855315025,0.7113197114233343,0.5580484442431207,0.18818346368669722,0.3894112478827424,0.5,XGBoost_Validation,6000,1195,4805
XGBoost_Test,0.705,0.3425468904244817,0.5223281485198193,0.41375198728139906,6009,1998,952,1041,0.750468340202323,0.24953165979767702,0.47767185148018065,0.23693333786371806,0.2278810023811103,0.7052776073820505,0.5656417755866497,0.19225390825778524,0.37076904748815315,0.5,XGBoost_Test,10000,1993,8007
