Model,AUC-ROC,Precision,Recall (TPR),F1-Score,FPR,Threshold
Baseline,0.7086,0.3425,0.5223,0.4138,0.2,0.5
Logistic Regression,0.6365234071208886,0.26313556754136114,0.6535547639355778,0.37520523086672236,0.45556957124480135,0.4747474747474748
Random Forest,0.7105498201143543,0.32831268388803414,0.6102553810646731,0.4269367124153182,0.3107819505676354,0.393939393939394
Neural Network,0.7206019304862525,0.33584824892313453,0.629822888966936,0.4380889230124939,0.31003259688518653,0.4102957844734192
